[INFO][2014-04-16 00:29:28,453][rml.test.TestSpring]info
[INFO][2014-04-16 00:33:03,937][rml.test.TestLog]log info
[WARN][2014-04-16 00:33:03,937][rml.test.TestLog]log warn
[ERROR][2014-04-16 00:33:03,937][rml.test.TestLog]log error
[INFO][2014-04-16 00:33:03,953][rml.test.TestSpring]info
[INFO][2014-04-16 00:38:46,078][rml.test.TestLog]log info
[WARN][2014-04-16 00:38:46,078][rml.test.TestLog]log warn
[ERROR][2014-04-16 00:38:46,078][rml.test.TestLog]log error
[INFO][2014-04-16 00:38:46,078][rml.test.TestSpring]info
[INFO][2014-04-16 00:42:01,250][rml.test.TestLog]log info
[WARN][2014-04-16 00:42:01,250][rml.test.TestLog]log warn
[ERROR][2014-04-16 00:42:01,250][rml.test.TestLog]log error
[INFO][2014-04-16 00:42:01,250][rml.test.TestSpring]info
[INFO][2014-04-16 15:50:18,467][rml.test.TestLog]log info
[WARN][2014-04-16 15:50:18,467][rml.test.TestLog]log warn
[ERROR][2014-04-16 15:50:18,467][rml.test.TestLog]log error
[INFO][2014-04-16 15:50:18,467][rml.test.TestSpring]info
[INFO][2014-04-16 15:55:20,139][rml.test.TestLog]log info
[WARN][2014-04-16 15:55:20,139][rml.test.TestLog]log warn
[ERROR][2014-04-16 15:55:20,139][rml.test.TestLog]log error
[INFO][2014-04-16 15:55:20,139][rml.test.TestSpring]info
[INFO][2014-04-16 16:04:29,982][rml.test.TestLog]log info
[WARN][2014-04-16 16:04:29,982][rml.test.TestLog]log warn
[ERROR][2014-04-16 16:04:29,982][rml.test.TestLog]log error
[INFO][2014-04-16 16:04:29,982][rml.test.TestSpring]info
[INFO][2014-04-16 16:08:49,748][rml.test.TestLog]log info
[WARN][2014-04-16 16:08:49,748][rml.test.TestLog]log warn
[ERROR][2014-04-16 16:08:49,748][rml.test.TestLog]log error
[INFO][2014-04-16 16:08:49,748][rml.test.TestSpring]info
[INFO][2014-04-16 16:10:09,264][rml.test.TestLog]log info
[WARN][2014-04-16 16:10:09,264][rml.test.TestLog]log warn
[ERROR][2014-04-16 16:10:09,264][rml.test.TestLog]log error
[INFO][2014-04-16 16:10:09,279][rml.test.TestSpring]info
[INFO][2014-04-16 16:34:54,826][rml.test.TestLog]log info
[WARN][2014-04-16 16:34:54,826][rml.test.TestLog]log warn
[ERROR][2014-04-16 16:34:54,826][rml.test.TestLog]log error
[INFO][2014-04-16 16:34:54,826][rml.test.TestSpring]info
[INFO][2014-04-16 16:38:13,092][rml.test.TestLog]log info
[WARN][2014-04-16 16:38:13,107][rml.test.TestLog]log warn
[ERROR][2014-04-16 16:38:13,107][rml.test.TestLog]log error
[INFO][2014-04-16 16:38:13,107][rml.test.TestSpring]info
[INFO][2014-04-16 16:42:22,420][rml.test.TestLog]log info
[WARN][2014-04-16 16:42:22,420][rml.test.TestLog]log warn
[ERROR][2014-04-16 16:42:22,420][rml.test.TestLog]log error
[INFO][2014-04-16 16:42:22,420][rml.test.TestSpring]info
[INFO][2014-04-16 16:45:11,295][rml.test.TestLog]log info
[WARN][2014-04-16 16:45:11,295][rml.test.TestLog]log warn
[ERROR][2014-04-16 16:45:11,295][rml.test.TestLog]log error
[INFO][2014-04-16 16:45:11,295][rml.test.TestSpring]info
[INFO][2014-04-16 16:48:25,451][rml.test.TestLog]log info
[WARN][2014-04-16 16:48:25,451][rml.test.TestLog]log warn
[ERROR][2014-04-16 16:48:25,451][rml.test.TestLog]log error
[INFO][2014-04-16 16:48:25,451][rml.test.TestSpring]info
[INFO][2014-04-16 16:54:44,201][rml.test.TestLog]log info
[WARN][2014-04-16 16:54:44,201][rml.test.TestLog]log warn
[ERROR][2014-04-16 16:54:44,201][rml.test.TestLog]log error
[INFO][2014-04-16 16:54:44,201][rml.test.TestSpring]info
[INFO][2014-04-16 16:58:05,404][rml.test.TestLog]log info
[WARN][2014-04-16 16:58:05,404][rml.test.TestLog]log warn
[ERROR][2014-04-16 16:58:05,404][rml.test.TestLog]log error
[INFO][2014-04-16 16:58:05,420][rml.test.TestSpring]info
[INFO][2014-04-16 17:01:36,357][rml.test.TestLog]log info
[WARN][2014-04-16 17:01:36,357][rml.test.TestLog]log warn
[ERROR][2014-04-16 17:01:36,357][rml.test.TestLog]log error
[INFO][2014-04-16 17:01:36,373][rml.test.TestSpring]info
[INFO][2014-04-16 17:04:42,123][rml.test.TestLog]log info
[WARN][2014-04-16 17:04:42,139][rml.test.TestLog]log warn
[ERROR][2014-04-16 17:04:42,139][rml.test.TestLog]log error
[INFO][2014-04-16 17:04:42,139][rml.test.TestSpring]info
[INFO][2014-04-16 17:08:17,873][rml.test.TestLog]log info
[WARN][2014-04-16 17:08:17,873][rml.test.TestLog]log warn
[ERROR][2014-04-16 17:08:17,873][rml.test.TestLog]log error
[INFO][2014-04-16 17:08:17,873][rml.test.TestSpring]info
[INFO][2014-04-16 17:11:25,982][rml.test.TestLog]log info
[WARN][2014-04-16 17:11:25,982][rml.test.TestLog]log warn
[ERROR][2014-04-16 17:11:25,982][rml.test.TestLog]log error
[INFO][2014-04-16 17:11:25,982][rml.test.TestSpring]info
[INFO][2014-04-16 17:14:42,326][rml.test.TestLog]log info
